year	leg	ideal_time	vertical	leg_distance	ideal_pace	vertical_per_km	marking	log_ideal_pace	leg_avg	terrain_coefficient
2024	1	72	160.0	13.6	5.294117647058823	11.764705882352942	2000.0	1.6665963262740489	1.7786660228687865	0.936992276709721
2024	2	76	200.0	14.9	5.100671140939597	13.422818791946309	2000.0	1.6293721273349175	1.7953864884967112	0.9075328001934566
2024	3	68	140.0	13.2	5.151515151515151	10.606060606060607	2000.0	1.6392908755837814	1.7945167819947414	0.9134998858921706
2024	4	51	100.0	9.6	5.3125	10.416666666666668	2000.0	1.6700625342505353	1.7483887111024876	0.9552009365225415
2024	5	49	100.0	9.4	5.212765957446808	10.638297872340425	2000.0	1.6511106088346683	1.720986013328644	0.9593980404530852
2024	6	66	170.0	13.2	5.0	12.878787878787879	2000.0	1.6094379124341003	1.7484964439882447	0.9204696514927089
2024	7	78	200.0	15.8	4.936708860759493	12.658227848101266	2000.0	1.5966988866566705	1.7290498448229785	0.9234545154596985
2023	1	73	240.0	12.8	5.703125	18.75	500.0	1.7410142702228197	1.7786660228687865	0.9788314657378799
2023	2	76	285.0	12.9	5.891472868217054	22.093023255813954	500.0	1.7735060289187046	1.7953864884967112	0.9878129529668416
2023	3	84	360.0	14.4	5.833333333333333	25.0	500.0	1.7635885922613586	1.7945167819947414	0.9827651710790891
2023	4	48	240.0	8.2	5.853658536585367	29.26829268292683	500.0	1.7670668566376837	1.7483887111024876	1.010683062305646
2023	5	55	275.0	9.5	5.7894736842105265	28.94736842105263	500.0	1.7560413866259759	1.720986013328644	1.0203693539783798
2023	6	54	275.0	9.3	5.806451612903225	29.569892473118276	500.0	1.758969646405064	1.7484964439882447	1.0059898334096296
2023	7	87	445.0	15.1	5.7615894039735105	29.47019867549669	500.0	1.751213374833705	1.7290498448229785	1.0128183291401849
2022	1	72	320.0	13.9	5.179856115107913	23.02158273381295	550.0	1.6447772788794093	1.7786660228687865	0.924725191650409
2022	2	61	260.0	11.7	5.213675213675214	22.222222222222225	550.0	1.6512850223696007	1.7953864884967112	0.9197379132290521
2022	3	79	340.0	14.9	5.302013422818792	22.818791946308725	550.0	1.668086639515608	1.7945167819947414	0.9295464139719013
2022	4	46	190.0	8.7	5.287356321839081	21.839080459770116	550.0	1.665318370828557	1.7483887111024876	0.9524874876242202
