year	leg	ideal_time	vertical	leg_distance	ideal_pace	vertical_per_km	marking	log_ideal_pace	leg_avg	terrain_coefficient
2024	1	48	60.0	8.0	6.0	7.5		1.791759469228055	1.8954014531053722	0.9453192442648426
2024	2	46	60.0	7.9	5.822784810126582	7.594936708860759		1.7617786370161193	1.8874968564667465	0.9333942098923744
2024	3	38	60.0	6.8	5.588235294117648	8.823529411764707		1.7206635475443248	1.8847991893605742	0.912916111836862
2024	4	50	70.0	9.0	5.555555555555555	7.777777777777778		1.7147984280919266	1.8865196934300286	0.9089745705087858
2023	1	45	160.0	6.7	6.716417910447761	23.88059701492537	500.0	1.9045549633733994	1.8954014531053722	1.0048293253405658
2023	2	34	130.0	5.3	6.415094339622642	24.528301886792455	500.0	1.8586537040580853	1.8874968564667465	0.9847188342010522
2023	3	46	160.0	6.6	6.96969696969697	24.242424242424242	500.0	1.9415717474567151	1.8847991893605742	1.0301212768005281
2023	4	51	210.0	7.7	6.623376623376624	27.272727272727273	500.0	1.8906053038646877	1.8865196934300286	1.0021656866074007
2022	1	45	170.0	7.5	6.0	22.666666666666668	550.0	1.791759469228055	1.8954014531053722	0.9453192442648426
2022	2	47	180.0	8.0	5.875	22.5	550.0	1.7707060600302227	1.8874968564667465	0.9381239783068315
2022	3	34	125.0	6.1	5.573770491803279	20.491803278688526	550.0	1.7180717534368959	1.8847991893605742	0.9115410082597493
2022	4	50	195.0	8.7	5.74712643678161	22.413793103448278	550.0	1.7486999797676082	1.8865196934300286	0.9269449907454507
2021	1	45	70.0	7.3	6.164383561643835	9.589041095890412	1200.0	1.8187881416159744	1.8954014531053722	0.9595793749319561
2021	2	33	50.0	5.4	6.111111111111111	9.25925925925926	1200.0	1.8101086078962514	1.8874968564667465	0.9589995351222147
2021	3	56	110.0	9.1	6.153846153846154	12.087912087912088	1200.0	1.817077277212345	1.8847991893605742	0.9640694284407008
2021	4	52	90.0	8.5	6.117647058823529	10.588235294117647	1200.0	1.8111775550851565	1.8865196934300286	0.9600628932699417
2019	1	40	140.0	5.8	6.8965517241379315	24.137931034482758	1250.0	1.9310215365615626	1.8954014531053722	1.0187928965643829
2019	2	37	130.0	5.5	6.7272727272727275	23.636363636363637	1250.0	1.9061698204057993	1.8874968564667465	1.0098929775035532
2019	3	50	150.0	7.1	7.042253521126761	21.126760563380284	1250.0	1.9519282213808764	1.8847991893605742	1.0356160127822827
2019	4	53	160.0	7.8	6.794871794871795	20.512820512820515	1250.0	1.9161681798565757	1.8865196934300286	1.0157159697456648
2018	1	43	175.0	6.1	7.049180327868853	28.688524590163937	600.0	1.952911344514297	1.8954014531053722	1.0303417997884838
2018	2	42	165.0	6.1	6.885245901639345	27.049180327868854	600.0	1.9293808471041027	1.8874968564667465	1.0221902306718327
2018	3	37	150.0	5.3	6.981132075471699	28.30188679245283	600.0	1.9432110920861483	1.8847991893605742	1.0309910483065257
2018	4	55	220.0	7.8	7.051282051282051	28.205128205128204	600.0	1.953209451536925	1.8865196934300286	1.0353506821790142
2017	1	45	190.0	6.7	6.716417910447761	28.35820895522388	1300.0	1.9045549633733994	1.8954014531053722	1.0048293253405658
2017	2	44	190.0	6.6	6.666666666666667	28.78787878787879	1300.0	1.8971199848858813	1.8874968564667465	1.005098354673368
2017	3	38	180.0	5.9	6.440677966101695	30.508474576271183	1300.0	1.8626338088147119	1.8847991893605742	0.9882399246185043
2017	4	52	220.0	8.1	6.419753086419753	27.160493827160494	1300.0	1.8593796569030343	1.8865196934300286	0.9856137009215903
2016	1	45	150.0	7.0	6.428571428571429	21.428571428571427	850.0	1.8607523407150064	1.8954014531053722	0.981719380697109
2016	2	43	160.0	6.7	6.4179104477611935	23.88059701492537	850.0	1.859092589296642	1.8874968564667465	0.9849513565689983
2016	3	39	110.0	5.9	6.610169491525423	18.64406779661017	850.0	1.8886092952179725	1.8847991893605742	1.002021491668134
2016	4	59	225.0	9.0	6.555555555555555	25.0	850.0	1.8803128665695001	1.8865196934300286	0.9967099061397852
2015	1	51	130.0	8.0	6.375	16.25	1200.0	1.8523840910444898	1.8954014531053722	0.9773043531277218
2015	2	40	75.0	6.0	6.666666666666667	12.5	1200.0	1.8971199848858813	1.8874968564667465	1.005098354673368
2015	3	41	70.0	6.2	6.612903225806451	11.29032258064516	1200.0	1.889022774653262	1.8847991893605742	1.0022408675239938
2015	4	59	160.0	8.9	6.629213483146067	17.977528089887638	1200.0	1.8914861671676253	1.8865196934300286	1.002632611657802
2014	1	35		5.2	6.730769230769231		1000.0	1.906689435902032	1.8954014531053722	1.0059554574985505
2014	2	34		5.1	6.666666666666667		1000.0	1.8971199848858813	1.8874968564667465	1.005098354673368
2014	3	50		6.8	7.352941176470589		1000.0	1.9951003932460851	1.8847991893605742	1.0585214618661476
2014	4	53		7.7	6.883116883116883		1000.0	1.9290715846924837	1.8865196934300286	1.0225557630861983
2013	1	54		8.5	6.352941176470588		850.0	1.8489178830680035	1.8954014531053722	0.9754756070482001
2013	2	35		5.8	6.0344827586206895		850.0	1.79749014393704	1.8874968564667465	0.9523142450694237
2013	3	34		5.7	5.964912280701754		850.0	1.785894349775657	1.8847991893605742	0.9475249988735027
2013	4	56		8.7	6.436781609195402		850.0	1.8620286650746112	1.8865196934300286	0.987017878243885
2012	1	36		5.9	6.101694915254237		1800.0	1.808566587544436	1.8954014531053722	0.9541865574606011
2012	2	37		5.9	6.271186440677965		1800.0	1.8359655617325505	1.8874968564667465	0.9726986063273988
2012	3	46		7.2	6.388888888888888		1800.0	1.8545603704670852	1.8847991893605742	0.9839564771333822
2012	4	55		8.5	6.470588235294118		1800.0	1.8672670217362002	1.8865196934300286	0.9897946086855719
2011	1	47		6.9	6.811594202898551		700.0	1.9186261901068449	1.8954014531053722	1.0122532020662018
2011	2	43		6.2	6.935483870967742		700.0	1.9366508236425166	1.8874968564667465	1.026041880285715
2011	3	35		5.1	6.862745098039216		700.0	1.9261075217591337	1.8847991893605742	1.0219165694848231
2011	4	57		8.5	6.705882352941177		700.0	1.9029851043382795	1.8865196934300286	1.0087279295125269
2010	1	41		5.1	8.03921568627451			2.0843315269740277	1.8954014531053722	1.099678130751202
2010	2	36		4.5	8.0			2.0794415416798357	1.8874968564667465	1.1016927178212077
2010	3	50		6.5	7.6923076923076925			2.0402208285265546	1.8847991893605742	1.0824605825614282
2010	4	59		7.6	7.7631578947368425			2.049389196613434	1.8865196934300286	1.0863333172458327
2009	1	44	135.0	7.05	6.24113475177305	19.148936170212767	1000.0	1.8311620170940839	1.8954014531053722	0.9661077414992796
2009	2	43	140.0	6.55	6.564885496183206	21.37404580152672	1000.0	1.8817350660464018	1.8874968564667465	0.9969473907198286
2009	3	38	120.0	5.95	6.386554621848739	20.168067226890756	1000.0	1.8541949401688473	1.8847991893605742	0.9837625942516934
2009	4	58	200.0	8.65	6.705202312138728	23.12138728323699	1000.0	1.9028836896026313	1.8865196934300286	1.008674171931304
2008	1	49	230.0	7.05	6.950354609929078	32.6241134751773	600.0	1.9387926812864493	1.8954014531053722	1.0228928959139427
2008	2	48	230.0	7.15	6.713286713286713	32.16783216783217	600.0	1.9040886542019746	1.8874968564667465	1.0087903710559214
2008	3	35	140.0	5.55	6.306306306306307	25.225225225225227	600.0	1.8415501337310707	1.8847991893605742	0.9770537594277213
2008	4	55	250.0	8.15	6.748466257668712	30.674846625766868	600.0	1.9093152579796997	1.8865196934300286	1.0120833960170459
2007	1	40	160.0	5.79	6.90846286701209	27.63385146804836	500.0	1.9327471625290324	1.8954014531053722	1.0197033242548559
2007	2	40	160.0	5.91	6.768189509306261	27.072758037225043	500.0	1.9122336226959296	1.8874968564667465	1.0131055933388353
2007	3	42	170.0	6.255	6.71462829736211	27.17825739408473	500.0	1.9042884743644939	1.8847991893605742	1.0103402447931504
2007	4	52	210.0	7.69	6.7620286085825745	27.30819245773732	500.0	1.9113229350638747	1.8865196934300286	1.013147618718334
2006	1	41	240.0	5.45	7.522935779816514	44.03669724770642	750.0	2.017956458029155	1.8954014531053722	1.0646591278712971
2006	2	45	250.0	5.85	7.6923076923076925	42.73504273504274	750.0	2.0402208285265546	1.8874968564667465	1.0809134974379222
2006	3	38	250.0	5.25	7.238095238095238	47.61904761904762	750.0	1.9793580831228534	1.8847991893605742	1.0501692139385728
2006	4	55	320.0	7.75	7.096774193548387	41.29032258064516	750.0	1.9596403418672153	1.8865196934300286	1.0387595468480058
2005	1	35	140.0	5.15	6.796116504854369	27.184466019417474	850.0	1.916351346813769	1.8954014531053722	1.0110530113153986
2005	2	34	140.0	5.15	6.601941747572815	27.184466019417474	850.0	1.8873638099405166	1.8874968564667465	0.9999295116567881
2005	3	41	170.0	6.15	6.666666666666666	27.642276422764226	850.0	1.8971199848858813	1.8847991893605742	1.0065369274322995
2005	4	51	220.0	7.75	6.580645161290323	28.387096774193548	850.0	1.8841327893590702	1.8865196934300286	0.9987347579358589
