;Vuosi;Osuus;Osuuspituus;Nousu;Aika;Vaihto;;
;2022;1.;7,5 km;170 m;45 min; ;;
;2022;2.;8,0 km;180 m;47 min; ;;
;2022;3.;6,1 km;125 m;34 min; ;;
;2022;4.;8,7 km;195 m;50 min; ;;
;2021;1.;7,3 km;70 m;45 min;14:30;;
;2021;2.;5,4 km;50 m;33 min;15:03;;
;2021;3.;9,1 km;110 m;56 min;15:59;;
;2021;4.;8,5 km;90 m;52 min;;;
;2019;1.;5,8 – 5.9 km;140 m;40 min;14:40;;
;2019;2.;5,5 – 5,7 km;130 m;37 min;15:17;;
;2019;3.;7,1 – 7,3 km;150 m;50 min;16:07;;
;2019;4.;7,8 – 7,9 km;160 m;53 min;;;
;2018;1.;6,1-6,2 km;175 m;43 min;14:43;;
;2018;2.;6,1-6,2 km;165 m;42 min;15:25;;
;2018;3.;5,3-5,4 km;150 m;37 min;16:02;;
;2018;4.;7,8-7,9 km;220 m;55 min;;;
;2017;1.;6,7-6,9 km;190 m;45 min;14.45;;
;2017;2.;6,6-6,8 km;190 m;44 min;15.29;;
;2017;3.;5,9-6,1 km;180 m;38 min;16.07;;
;2017;4.;8,1-8,3 km;220 m;52 min;16.59;;
;2016;1.;7,0 km;150 m;45 min;;;
;2016;2.;6,7 km;160 m;43 min;;;
;2016;3.;5,9 km;110 m;39 min;;;
;2016;4.;9,0 km;225 m;59 min;;;
;2015;1.;8,0 km;130 m;51 min;;;
;2015;2.;6,0 km;75 m;40 min;;;
;2015;3.;6,2 km;70 m;41 min;;;
;2015;4.;8,9 km;160 m;59 min;;;
;2014;1.;5,2 km;;35 min;;;
;2014;2.;5,1 km;;34 min;;;
;2014;3.;6,8 km;;50 min;;;
;2014;4.;7,7 km;;53 min;;;
;2013;1.;1. 8,5 km;;54 min;;;
;2013;2.;2. 5,8 km;;35 min;;;
;2013;3.;3. 5,7 km;;34 min;;;
;2013;4.;4. 8,7 km;;56 min;;;
;2012;1.;1. 5,9 km;;36 min;;;
;2012;2.;2. 5,9 km;;37 min;;;
;2012;3.;3. 7,2 km;;46 min;;;
;2012;4.;4. 8,5 km;;55 min;;;
;2011;1.;;;47 min;;;
;2011;2.;;;43 min;;;
;2011;3.;;;35 min;;;
;2011;4.;;;57 min;;;
