execution_timestamp	kpi	value
20230327_043005	Viestin aikaväliennuste väärin	0.068
20230327_043005	Yksilöennusteen keskivirhe	12.404
20230327_043005	Yksilön aikaväliennuste väärin	0.057
20230327_043005	Yksilön aikavälin keskikoko	69.554
20230327_184410	Viestin aikaväliennuste väärin	0.068
20230327_184410	Yksilöennusteen keskivirhe	12.404
20230327_184410	Yksilön aikaväliennuste väärin	0.057
20230327_184410	Yksilön aikavälin keskikoko	69.554
20230327_190026	Viestin aikaväliennuste väärin	0.042
20230327_190026	Yksilöennusteen keskivirhe	8.726
20230327_190026	Yksilön aikaväliennuste väärin	0.034
20230327_190026	Yksilön aikavälin keskikoko	54.865
20230328_184324	Viestin aikaväliennuste väärin	0.068
20230328_184324	Yksilöennusteen keskivirhe	12.453
20230328_184324	Yksilön aikaväliennuste väärin	0.057
20230328_184324	Yksilön aikavälin keskikoko	69.856
20230328_185103	Viestin aikaväliennuste väärin	0.068
20230328_185103	Yksilöennusteen keskivirhe	12.414
20230328_185103	Yksilön aikaväliennuste väärin	0.057
20230328_185103	Yksilön aikavälin keskikoko	69.715
20230329_041244	Viestin aikaväliennuste väärin	0.068
20230329_041244	Yksilöennusteen keskivirhe	12.414
20230329_041244	Yksilön aikaväliennuste väärin	0.057
20230329_041244	Yksilön aikavälin keskikoko	69.708
20230329_043649	Viestin aikaväliennuste väärin	0.069
20230329_043649	Yksilöennusteen keskivirhe	12.403
20230329_043649	Yksilön aikaväliennuste väärin	0.057
20230329_043649	Yksilön aikavälin keskikoko	69.426
20230329_190543	Viestin aikaväliennuste väärin	0.067
20230329_190543	Yksilöennusteen keskivirhe	12.398
20230329_190543	Yksilön aikaväliennuste väärin	0.056
20230329_190543	Yksilön aikavälin keskikoko	69.838
20230329_191520	Viestin aikaväliennuste väärin	0.067
20230329_191520	Yksilöennusteen keskivirhe	12.413
20230329_191520	Yksilön aikaväliennuste väärin	0.056
20230329_191520	Yksilön aikavälin keskikoko	69.942
20230329_192202	Viestin aikaväliennuste väärin	0.067
